IRAS,    Name,    RA, DE,   Cat, H-Ks(e), W1-W3(e),    Teff,    LIR, Porb,    ecc, yes/no, [Fe/H],  [Zn/Ti], TTurnOff,    Ref
# -   -   hhm-Desmet- magnetarmag k%  D-  -   Sunsun  k-
IRAS18564-0814, [AD Aql],               18 59 08.1    , -08 10 14.    , Cat. 2,        0.08 0.03, 5.07 0.03,  6300,   51,         ,     , no , -2.1,  2.5 , 1000, a
IRAS06054+2237, [SS Gem],               06 08 35.1084 , +22 37 01.937 , Cat. 4,        0.12 0.04, 0.83 0.05,  5400,    1,         ,     , no , -1.0,  2.0 , 1100, b
IRAS06338+5333, [HD46703],              06 37 52.42   , +53 31 01.957 , Cat. 4,        0.05 0.02, 2.25 0.03,  6250,    2,  597.4  , 0.3 , no , -1.5,  0.9 ,  800, a
IRAS13110-5425, [HD114855],             13 14 08.26   , -54 41 34.63  , Cat. 4,        0.11 0.05, 0.38 0.07,  6000,    2,         ,     , no ,  0.0,      ,     , g
IRASF15240+1452,[HD137569],             15 26 20.81   , +14 41 36.33  , Cat. 4,        0.04 0.02, 0.17 0.03, 12000,    0,  530.   ,     , no , -3.0,      ,     , d
IRAS16399-6247, [CPD-62 5428],          16 44 35.37   , -62 53 26.00  , Cat. 4,        0.06 0.03, 1.08 0.03,  7500,    6,         ,     , no , -1.0,      ,     , g
              , [CC Lyr],               18 33 57.4147 , +31 38 24.181 , Cat. 4,        0.17 0.03, 1.87 0.03,  6250,    3,         ,     , no , -3.5,      , 1000, f
IRAS18448-0545, [R_Sct],              18 47 28.95   , -05 42 18.54  , Cat. 4,        0.16 0.37, 1.0  0.31,  4500,    3,         ,     , no , -0.5,      ,     , b
IRAS20160+2734, [AU Vul],               20 18 05.886  , +27 44 03.69  , Cat. 4,        0.2  0.05, 1.09 0.06,  6000,    6,         ,     , no ,  0.0,      ,     , n
              , [BD+394926],            22 46 11.2273 , +40 06 26.294 , Cat. 4,        0.02 0.02, 0.64 0.03,  7500,    0,  871.7  ,     , no , -2.9,  2.0 , 1000, a
IRAS06108+2743, [SU Gem],               06 14 00.0227 , +27 42 12.218 , Cat. 0,        1.45 0.04, 3.1  0.08,  5750,  792,  690.   ,     , yes, -0.7,  0.5 , 1400, a
IRAS06176-1036, [HD 44179],             06 19 58.2160 , -10 38 14.691 , Cat. 0,        1.44 0.25, 4.48 0.28,  7500, 1034,  317.6  , 0.27, no , -3.3,      , 1000, a
IRAS08011-3627, [AR Pup],               08 03 01.1    , -36 35 47.    , Cat. 0,        1.51 0.05, 3.66 0.4 ,  6000,  915, 1250.   ,     , yes, -1.0,      , 1200, a
IRAS15556-5444, []       ,              15 59 32.1    , -54 53 18.    , Cat. 0,        1.16 0.04, 3.94 0.08,  6000,  265,         ,     , no ,  0.0,      ,     , a
IRAS18158-3445, []        ,             18 19 13.6    , -34 44 32.    , Cat. 0,        1.27 0.04, 3.19 0.04,  6500,  262,         ,     , no ,  0.0,      ,     , a
IRAS19125+0343, [BD+03 3950],           19 15 01.1809 , +03 48 42.703 , Cat. 0,        1.29 0.04, 3.38 0.14,  7750,  133,  519.7  , 0.24, yes, -0.5,  2.3 , 1400, a
IRAS19472+4254, [DF Cyg],               19 48 53.9423 , +43 02 14.529 , Cat. 0,        1.16 0.02, 2.9  0.04,  4800,   51,  784.   ,     , yes,  0.0, -0.7 ,     , b
IRAS19548+1951, [RS Sge],               19 57 06.38   , +19 59 43.7   , Cat. 0,        1.35 0.04, 2.85 0.05,  6000,  308,         ,     , yes,  0.0,      ,     , b
IRAS20056+1834, [QY Sge],               20 07 54.8    , +18 42 57.    , Cat. 0,        1.36 0.04, 4.43 0.07,  5850,  574,         ,     , no , -0.4,  1.2 , 1500, a
IRAS10456-5712, [HD93662],              10 47 38.3965 , -57 28 02.679 , Uncategorized, 0.35 0.30,          ,  4250,   44,  572.   ,     , no ,  0.0,      ,     ,  

