name,P_d,i_deg,M1_Msun,M2_Msun,R1_Rsun,R2_Rsun,T1_K,T2_K,logg1,logg2,P_d_err,i_deg_err,M1_Msun_err,M2_Msun_err,R1_Rsun_err,R2_Rsun_err,T1_K_err,T2_K_err,logg1_err,logg2_err,simbad_name,simbad_name_ptf,RA,Dec,SpType,simbad_resolved_name,simbad_ids,MAIN_ID
1615u,0.7777349,82.4,1.5,0.24,1.27,0.16,7400.0,12200.0,4.4,5.41,1.1e-06,4.2,0.09,0.1,0.14,0.02,200.0,600.0,0.08,0.27,PTF1 J153005.01+202157.06,PTF J153005.01+202157.06,247.8145212002995,20.365826275699998,,UCAC4 552-053246,,
1616cr,0.564969,82.5,1.4,0.07,1.36,0.46,7060.0,8000.0,4.32,3.93,2e-07,0.9,0.03,0.02,0.02,0.01,120.0,170.0,0.01,0.07,PTF1 J162342.13+231456.58,PTF J162342.13+231456.58,88.88385254490017,23.2491165482,A5V,BPS BS 16542-0030,,
1617n^RV,2.3367776,87.3,1.8,0.18,2.41,0.38,7500.0,11600.0,3.93,4.55,5.2e-06,2.1,0.04,0.02,0.12,0.03,110.0,400.0,0.04,0.07,PTF1 J173257.98+403600.93,PTF J173257.98+403600.93,348.62399105054874,40.60026821761,,UCAC4 654-060802,,
1617m^RV,3.7728999,87.8,1.68,0.14,2.57,0.69,6990.0,9320.0,3.84,3.89,8.3e-06,1.5,0.06,0.03,0.08,0.03,190.0,190.0,0.02,0.1,PTF1 J175433.50+230041.83,PTF J175433.50+230041.83,69.59360225819806,23.01162446253,,UCAC4 566-061120,,
1619l^RV,1.1599993,83.2,1.56,0.17,2.13,0.34,6870.0,9200.0,3.97,4.6,1.7e-06,4.1,0.05,0.01,0.14,0.04,120.0,150.0,0.05,0.09,PTF1 J191826.08+485302.94,PTF J191826.08+485302.94,24.129524536648713,48.884104001729995,kA4hA7mA9,ZTF J191826.06+485302.7,,
1521ct,1.1724964,83.0,1.82,0.36,1.72,0.56,8520.0,9800.0,4.23,4.5,1.4e-06,1.4,0.06,0.29,0.11,0.04,190.0,300.0,0.04,0.28,PTF1 J213318.98+254126.30,PTF J213318.98+254126.30,169.9368754147488,25.69063594424,,UCAC4 579-116626,,
1621ax,1.0181522,84.0,1.69,0.3,2.14,0.17,7350.0,11800.0,4.0,5.48,4.5e-06,4.6,0.06,0.07,0.14,0.03,170.0,700.0,0.04,0.22,PTF1 J213534.11+233313.86,PTF J213534.11+233313.86,178.38191440514802,23.55386453622,,UCAC4 568-125457,,
1521cm^RV,0.6854774,80.0,1.49,0.21,1.49,0.43,7290.0,9240.0,4.27,4.49,2e-07,1.0,0.02,0.01,0.03,0.01,70.0,90.0,0.02,0.03,PTF1 J214858.33+030417.50,PTF J214858.33+030417.50,228.64587931199932,3.07154216106,,CRTS J214858.3+030417,,
1622by,0.7486683,85.8,1.69,0.31,1.84,0.33,7700.0,11100.0,4.13,4.88,1.6e-06,3.4,0.07,0.07,0.07,0.02,300.0,1400.0,0.03,0.13,PTF1 J220719.56+085415.66,PTF J220719.56+085415.66,297.47334086684924,8.90436313626,,UCAC4 495-142916,,
1522cc,0.5717853,81.2,1.4,0.26,1.62,0.27,6860.0,9570.0,4.17,4.99,3e-07,3.1,0.04,0.04,0.05,0.01,120.0,190.0,0.02,0.08,PTF1 J225539.41+342137.72,PTF J225539.41+342137.72,118.71352909889877,34.36051168109999,,CRTS J225539.4+342138,,
1622aa,0.7661291,84.7,1.6,0.16,1.74,0.26,7500.0,10900.0,4.16,4.85,3.8e-06,4.0,0.08,0.05,0.1,0.03,300.0,1300.0,0.04,0.19,PTF1 J225652.53+390822.70,PTF J225652.53+390822.70,123.28281438074951,39.13967839502,,UCAC4 646-116578,,
1622bt,0.688416,79.2,1.65,0.29,1.74,0.29,7700.0,12200.0,4.18,4.97,4e-07,2.0,0.06,0.04,0.05,0.01,200.0,1000.0,0.02,0.08,PTF1 J225755.64+310133.67,PTF J225755.64+310133.67,127.2284630836492,31.02604588904,,ZTF J225755.64+310133.7,,
1723aj,1.1088064,85.6,1.57,0.18,2.51,0.23,6640.0,11000.0,3.84,4.98,9e-07,3.3,0.05,0.03,0.07,0.02,130.0,400.0,0.02,0.11,PTF1 J231010.08+331249.78,PTF J231010.08+331249.78,173.1302337928494,33.21383895729,,ATO J347.5419+33.2138,,
